payee_name,part_postcode,town,county_council,parliamentary_constituency,scheme,scheme_detail,activity_level,financial_year,amount
Chantel Roob,LA23,Windermere,Cumbria,Westmorland and Lonsdale,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4068
Chantel Roob,LA23,Windermere,Cumbria,Westmorland and Lonsdale,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2366
Chantel Roob,LA23,Windermere,Cumbria,Westmorland and Lonsdale,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3125
Chantel Roob,LA23,Windermere,Cumbria,Westmorland and Lonsdale,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4575
Chantel Roob,LA23,Windermere,Cumbria,Westmorland and Lonsdale,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,2787
Chantel Roob,LA23,Windermere,Cumbria,Westmorland and Lonsdale,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3080
Harlan Wolf,PA14,None,None,Inverclyde,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3342
Harlan Wolf,PA14,None,None,Inverclyde,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Harlan Wolf,PA14,None,None,Inverclyde,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2786
Stacee Konopelski,HP13,"Buckinghamshire, unparished area",None,Wycombe,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1341
Stacee Konopelski,HP13,"Buckinghamshire, unparished area",None,Wycombe,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Stacee Konopelski,HP13,"Buckinghamshire, unparished area",None,Wycombe,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4805
Chassidy Mann,S36,Penistone,None,Penistone and Stocksbridge,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3982
Mittie Johnston,PH1,None,None,Perth and North Perthshire,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3346
Mittie Johnston,PH1,None,None,Perth and North Perthshire,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4291
Mittie Johnston,PH1,None,None,Perth and North Perthshire,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1693
Mittie Johnston,PH1,None,None,Perth and North Perthshire,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Mittie Johnston,PH1,None,None,Perth and North Perthshire,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4114
Mittie Johnston,PH1,None,None,Perth and North Perthshire,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Ricki Stehr,M21,"Manchester, unparished area",None,"Manchester, Gorton",Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1598
Ricki Stehr,M21,"Manchester, unparished area",None,"Manchester, Gorton",Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2230
Ricki Stehr,M21,"Manchester, unparished area",None,"Manchester, Gorton",Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2710
Ricki Stehr,M21,"Manchester, unparished area",None,"Manchester, Gorton",Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1916
Ricki Stehr,M21,"Manchester, unparished area",None,"Manchester, Gorton",Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Max Mayert,BS16,Downend and Bromley Heath,None,Filton and Bradley Stoke,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4323
Max Mayert,BS16,Downend and Bromley Heath,None,Filton and Bradley Stoke,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4757
Max Mayert,BS16,Downend and Bromley Heath,None,Filton and Bradley Stoke,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4867
Lenore Murphy,G77,None,None,East Renfrewshire,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4270
Lenore Murphy,G77,None,None,East Renfrewshire,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4857
Lenore Murphy,G77,None,None,East Renfrewshire,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1373
Lenore Murphy,G77,None,None,East Renfrewshire,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,2879
Lenore Murphy,G77,None,None,East Renfrewshire,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,1966
Jestine Stokes,HX1,"Calderdale, unparished area",None,Halifax,Farming Equipment and Technology Fund,General,Medium,21/22,2927
Jestine Stokes,HX1,"Calderdale, unparished area",None,Halifax,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3005
Rudy Hilpert,HU7,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull North,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3782
Eldridge Auer,IP4,"Ipswich, unparished area",Suffolk,Ipswich,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1584
Dane Durgan,YO25,Hutton Cranswick,None,East Yorkshire,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4240
Dane Durgan,YO25,Hutton Cranswick,None,East Yorkshire,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3349
Dane Durgan,YO25,Hutton Cranswick,None,East Yorkshire,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4283
Dane Durgan,YO25,Hutton Cranswick,None,East Yorkshire,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4601
Winfred Torphy,B47,Wythall,Worcestershire,Bromsgrove,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3794
Winfred Torphy,B47,Wythall,Worcestershire,Bromsgrove,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3003
Teddy Stokes,TF13,Much Wenlock,None,Ludlow,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2871
Teddy Stokes,TF13,Much Wenlock,None,Ludlow,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4293
Teddy Stokes,TF13,Much Wenlock,None,Ludlow,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1563
Teddy Stokes,TF13,Much Wenlock,None,Ludlow,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Teddy Stokes,TF13,Much Wenlock,None,Ludlow,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4021
Teddy Stokes,TF13,Much Wenlock,None,Ludlow,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4861
Judson Hudson,LA5,Bolton-le-Sands,Lancashire,Morecambe and Lunesdale,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1867
Judson Hudson,LA5,Bolton-le-Sands,Lancashire,Morecambe and Lunesdale,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4402
Judson Hudson,LA5,Bolton-le-Sands,Lancashire,Morecambe and Lunesdale,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2713
Particia Kshlerin,LE2,"Leicester, unparished area",None,Leicester South,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3588
Particia Kshlerin,LE2,"Leicester, unparished area",None,Leicester South,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Particia Kshlerin,LE2,"Leicester, unparished area",None,Leicester South,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3738
Francesco Treutel,GU10,Ewshot,Hampshire,North East Hampshire,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4351
Josef Heathcote,SY1,Shrewsbury,None,Shrewsbury and Atcham,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4508
Josef Heathcote,SY1,Shrewsbury,None,Shrewsbury and Atcham,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4393
Josef Heathcote,SY1,Shrewsbury,None,Shrewsbury and Atcham,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2468
Josef Heathcote,SY1,Shrewsbury,None,Shrewsbury and Atcham,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4952
Britney Mertz,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4221
Britney Mertz,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Britney Mertz,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Farming Equipment and Technology Fund,General,Medium,21/22,4370
Britney Mertz,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3291
Britney Mertz,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2735
Britney Mertz,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3740
Raleigh Graham,CR8,"Sutton, unparished area",None,Carshalton and Wallington,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4150
Raleigh Graham,CR8,"Sutton, unparished area",None,Carshalton and Wallington,Farming Equipment and Technology Fund,General,Medium,21/22,3489
Harrison Maggio,B60,Stoke,Worcestershire,Bromsgrove,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4266
Carmina Bechtelar,E17,"Waltham Forest, unparished area",None,Walthamstow,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2931
Carmina Bechtelar,E17,"Waltham Forest, unparished area",None,Walthamstow,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3896
Carmina Bechtelar,E17,"Waltham Forest, unparished area",None,Walthamstow,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2650
Mercedez Mann,LL60,Llanfihangel Ysgeifiog,None,Ynys Môn,Farming Equipment and Technology Fund,General,Medium,21/22,2448
Mercedez Mann,LL60,Llanfihangel Ysgeifiog,None,Ynys Môn,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2403
Mercedez Mann,LL60,Llanfihangel Ysgeifiog,None,Ynys Môn,Farming Equipment and Technology Fund,General,Medium,21/22,2863
Mercedez Mann,LL60,Llanfihangel Ysgeifiog,None,Ynys Môn,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1524
Darrel Larkin,CR0,"Croydon, unparished area",None,Croydon South,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,1287
Darrel Larkin,CR0,"Croydon, unparished area",None,Croydon South,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1519
Darrel Larkin,CR0,"Croydon, unparished area",None,Croydon South,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3963
Darrel Larkin,CR0,"Croydon, unparished area",None,Croydon South,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3501
Darrel Larkin,CR0,"Croydon, unparished area",None,Croydon South,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2957
Benito Huel,CA1,"Carlisle, unparished area",Cumbria,Carlisle,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4551
Benito Huel,CA1,"Carlisle, unparished area",Cumbria,Carlisle,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4305
Corazon Farrell,B70,"Sandwell, unparished area",None,West Bromwich East,Farming Equipment and Technology Fund,Forestry,Medium,21/22,2534
Corazon Farrell,B70,"Sandwell, unparished area",None,West Bromwich East,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2197
Corazon Farrell,B70,"Sandwell, unparished area",None,West Bromwich East,Farming Equipment and Technology Fund,General,Medium,21/22,3850
Corazon Farrell,B70,"Sandwell, unparished area",None,West Bromwich East,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4432
Corazon Farrell,B70,"Sandwell, unparished area",None,West Bromwich East,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,3741
Harris Torphy,SS3,"Southend-on-Sea, unparished area",None,Rochford and Southend East,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4200
Particia Dickens,NG18,"Ashfield, unparished area",Nottinghamshire,Ashfield,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4526
Particia Dickens,NG18,"Ashfield, unparished area",Nottinghamshire,Ashfield,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3188
Particia Dickens,NG18,"Ashfield, unparished area",Nottinghamshire,Ashfield,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2941
Particia Dickens,NG18,"Ashfield, unparished area",Nottinghamshire,Ashfield,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3349
Particia Dickens,NG18,"Ashfield, unparished area",Nottinghamshire,Ashfield,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4940
Elwood Hartmann,SA10,Dyffryn Clydach,None,Neath,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2083
Elwood Hartmann,SA10,Dyffryn Clydach,None,Neath,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1949
Elwood Hartmann,SA10,Dyffryn Clydach,None,Neath,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2787
Elwood Hartmann,SA10,Dyffryn Clydach,None,Neath,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1744
Elwood Hartmann,SA10,Dyffryn Clydach,None,Neath,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2992
Frida Kris,PE4,"Peterborough, unparished area",None,Peterborough,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2453
Frida Kris,PE4,"Peterborough, unparished area",None,Peterborough,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,1970
Frida Kris,PE4,"Peterborough, unparished area",None,Peterborough,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4190
Frida Kris,PE4,"Peterborough, unparished area",None,Peterborough,Farming Equipment and Technology Fund,General,Medium,21/22,3918
Maricruz Goyette,HP2,"Dacorum, unparished area",Hertfordshire,Hemel Hempstead,Farming Equipment and Technology Fund,General,Medium,21/22,3516
Maricruz Goyette,HP2,"Dacorum, unparished area",Hertfordshire,Hemel Hempstead,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Maricruz Goyette,HP2,"Dacorum, unparished area",Hertfordshire,Hemel Hempstead,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1891
Maricruz Goyette,HP2,"Dacorum, unparished area",Hertfordshire,Hemel Hempstead,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2018
Frankie Muller,WA7,"Halton, unparished area",None,Halton,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2789
Frankie Muller,WA7,"Halton, unparished area",None,Halton,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2545
Frankie Muller,WA7,"Halton, unparished area",None,Halton,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3259
Darwin Macejkovic,SG13,Hertford,Hertfordshire,Hertford and Stortford,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2545
Darwin Macejkovic,SG13,Hertford,Hertfordshire,Hertford and Stortford,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1705
Darwin Macejkovic,SG13,Hertford,Hertfordshire,Hertford and Stortford,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2929
Avery Kautzer,BN12,"Worthing, unparished area",West Sussex,Worthing West,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2415
Avery Kautzer,BN12,"Worthing, unparished area",West Sussex,Worthing West,Farming Equipment and Technology Fund,General,Medium,21/22,2117
Vern Schamberger,IG5,"Redbridge, unparished area",None,Ilford North,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3541
Vern Schamberger,IG5,"Redbridge, unparished area",None,Ilford North,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2115
Vern Schamberger,IG5,"Redbridge, unparished area",None,Ilford North,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1898
Molly Metz,SW6,"Hammersmith and Fulham, unparished area",None,Chelsea and Fulham,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3537
Molly Metz,SW6,"Hammersmith and Fulham, unparished area",None,Chelsea and Fulham,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4570
Molly Metz,SW6,"Hammersmith and Fulham, unparished area",None,Chelsea and Fulham,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3368
Ricky Wilderman,NG12,Cotgrave,Nottinghamshire,Rushcliffe,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1405
Ralph Brekke,PE27,Holywell-cum-Needingworth,Cambridgeshire,North West Cambridgeshire,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Ralph Brekke,PE27,Holywell-cum-Needingworth,Cambridgeshire,North West Cambridgeshire,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2958
Ruthanne Runolfsson,SK7,"Stockport, unparished area",None,Cheadle,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3584
Ruthanne Runolfsson,SK7,"Stockport, unparished area",None,Cheadle,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4579
Herschel Huels,CM8,Silver End,Essex,Witham,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2853
Desmond Hills,NE26,"North Tyneside, unparished area",None,Tynemouth,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4500
Desmond Hills,NE26,"North Tyneside, unparished area",None,Tynemouth,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4687
Desmond Hills,NE26,"North Tyneside, unparished area",None,Tynemouth,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4576
Desmond Hills,NE26,"North Tyneside, unparished area",None,Tynemouth,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1785
Desmond Hills,NE26,"North Tyneside, unparished area",None,Tynemouth,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4076
Clayton Koelpin,CO10,Sudbury,Suffolk,South Suffolk,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3661
Clayton Koelpin,CO10,Sudbury,Suffolk,South Suffolk,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3909
Michel Koss,NG7,"Nottingham, unparished area",None,Nottingham South,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,1333
Michel Koss,NG7,"Nottingham, unparished area",None,Nottingham South,Farming Equipment and Technology Fund,General,Medium,21/22,2477
Michel Koss,NG7,"Nottingham, unparished area",None,Nottingham South,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3382
Michel Koss,NG7,"Nottingham, unparished area",None,Nottingham South,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4720
Michel Koss,NG7,"Nottingham, unparished area",None,Nottingham South,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4179
Alton Weber,SO20,Houghton,Hampshire,Romsey and Southampton North,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4762
Alton Weber,SO20,Houghton,Hampshire,Romsey and Southampton North,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2809
Alton Weber,SO20,Houghton,Hampshire,Romsey and Southampton North,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1811
Alton Weber,SO20,Houghton,Hampshire,Romsey and Southampton North,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4529
Alton Weber,SO20,Houghton,Hampshire,Romsey and Southampton North,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2220
Chere Kiehn,HR7,Much Cowarne,None,North Herefordshire,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4370
Chere Kiehn,HR7,Much Cowarne,None,North Herefordshire,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3199
Buck Huel,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1400
Buck Huel,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3167
Buck Huel,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3537
Buck Huel,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2041
Buck Huel,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1930
Buck Huel,LN4,Heighington,Lincolnshire,Sleaford and North Hykeham,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1442
Talia Metz,L27,"Liverpool, unparished area",None,Garston and Halewood,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Talia Metz,L27,"Liverpool, unparished area",None,Garston and Halewood,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2132
Pamella Goodwin,WR10,Eckington,Worcestershire,West Worcestershire,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,1874
Cammy Mosciski,BS40,Cheddar,Somerset,Wells,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3713
Cammy Mosciski,BS40,Cheddar,Somerset,Wells,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3901
Josephina Renner,S41,"Chesterfield, unparished area",Derbyshire,Chesterfield,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4925
Josephina Renner,S41,"Chesterfield, unparished area",Derbyshire,Chesterfield,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,3495
Jolene Prohaska,B80,Mappleborough Green,Warwickshire,Stratford-on-Avon,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4904
Jolene Prohaska,B80,Mappleborough Green,Warwickshire,Stratford-on-Avon,Farming Equipment and Technology Fund,Forestry,Medium,21/22,2046
Jolene Prohaska,B80,Mappleborough Green,Warwickshire,Stratford-on-Avon,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2778
Jolene Prohaska,B80,Mappleborough Green,Warwickshire,Stratford-on-Avon,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2034
Leo Schneider,G61,None,None,East Dunbartonshire,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3256
Leo Schneider,G61,None,None,East Dunbartonshire,Farming Equipment and Technology Fund,General,Medium,21/22,1390
Michel Kreiger,WS2,"Walsall, unparished area",None,Walsall North,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1665
Michel Kreiger,WS2,"Walsall, unparished area",None,Walsall North,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2145
Michel Kreiger,WS2,"Walsall, unparished area",None,Walsall North,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4108
Michel Kreiger,WS2,"Walsall, unparished area",None,Walsall North,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3373
Wynell Hoeger,DD5,None,None,Dundee East,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2032
Wynell Hoeger,DD5,None,None,Dundee East,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3984
Wynell Hoeger,DD5,None,None,Dundee East,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4984
Otelia Labadie,SE8,"Lewisham, unparished area",None,"Lewisham, Deptford",Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3357
Otelia Labadie,SE8,"Lewisham, unparished area",None,"Lewisham, Deptford",Farming Equipment and Technology Fund,General,Medium,21/22,4210
Otelia Labadie,SE8,"Lewisham, unparished area",None,"Lewisham, Deptford",Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4556
Otelia Labadie,SE8,"Lewisham, unparished area",None,"Lewisham, Deptford",Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Otelia Labadie,SE8,"Lewisham, unparished area",None,"Lewisham, Deptford",Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2905
